Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
4,Arts & Literature,Literature & Authors,Which novelist died of typhoid after drinking water in Paris,Arnold Bennett,Obscure Knowledge,Arts & Literature|Literature & Authors,
12,Arts & Literature,Literature & Authors,Who wrote 'Duffy: Quite a Year for Plums'?,Bailey White,Obscure Knowledge,Arts & Literature|Literature & Authors,
65,Arts & Literature,Literature & Authors,Whose only novel was The Cardinal's Mistress?,Benito Mussolini,Obscure Knowledge,Arts & Literature|Literature & Authors,
66,Arts & Literature,Literature & Authors,What original story begins Aladdin was a little Chinese boy,1001 Arabian Nights,Moderate Knowledge,Arts & Literature|Literature & Authors,
91,Arts & Literature,Literature & Authors,Who was credited as the author of Jogfree of Canada,Charlie Farquharson,Obscure Knowledge,Arts & Literature|Literature & Authors,
95,Arts & Literature,Literature & Authors,In the Saint series of books what is Inspector Teal's full name,Claude Eustace Teal,Obscure Knowledge,Arts & Literature|Literature & Authors,
107,Arts & Literature,Literature & Authors,Which author published 59 new books in 1955,Enid Blyton,Obscure Knowledge,Arts & Literature|Literature & Authors,
122,Arts & Literature,Literature & Authors,How many days of Sodom were there according to the Marquis de Sade,120,Specialized Knowledge,Arts & Literature|Literature & Authors,
131,Arts & Literature,Literature & Authors,How old was Adrian Mole when he began writing his secret diary,13 and Three Quarters,Moderate Knowledge,Arts & Literature|Literature & Authors,
148,Arts & Literature,Literature & Authors,Who was the first British SF author to win a Hugo award?,Eric Frank Russell,Obscure Knowledge,Arts & Literature|Literature & Authors,
151,Arts & Literature,Literature & Authors,How many stories did Enid Blyton publish in 1959,Fifty-nine,Obscure Knowledge,Arts & Literature|Literature & Authors,
198,Arts & Literature,Literature & Authors,Which novelist created Crown Prosecutor Helen West?,Frances Fyfield,Obscure Knowledge,Arts & Literature|Literature & Authors,
208,Arts & Literature,Literature & Authors,What short story is also known as Creation Took Eight Days?,Goldfish Bowl,Obscure Knowledge,Arts & Literature|Literature & Authors,
216,Arts & Literature,Literature & Authors,Daniel Defoe's first novel was published in which year?,1719,Specialized Knowledge,Arts & Literature|Literature & Authors,
223,Arts & Literature,Literature & Authors,What author's unused final two names are Bower Yin,Leslie Charteris,Obscure Knowledge,Arts & Literature|Literature & Authors,
231,Arts & Literature,Literature & Authors,What did D.H. Lawrence do with his horse Aaron when it died?,Made a duffel bag from skin,Obscure Knowledge,Arts & Literature|Literature & Authors,
249,Arts & Literature,Literature & Authors,When did Sir Walter Scott write Ivanhoe?,1819,Specialized Knowledge,Arts & Literature|Literature & Authors,
255,Arts & Literature,Literature & Authors,Who is Aladdin's father?,Mustapha the tailor,Obscure Knowledge,Arts & Literature|Literature & Authors,
262,Arts & Literature,Literature & Authors,Name the aboriginal detective in the novels of Arthur W Upfield,Napoleon Bonaparte,Obscure Knowledge,Arts & Literature|Literature & Authors,
302,Arts & Literature,Literature & Authors,What Larry Niven character was known as the hindmost leader,Nessus,Obscure Knowledge,Arts & Literature|Literature & Authors,
305,Arts & Literature,Literature & Authors,What was the name of US author Dorothy Parker's parrot,Onan,Obscure Knowledge,Arts & Literature|Literature & Authors,
306,Arts & Literature,Literature & Authors,What was Scarlett O'Hara's original first name in early drafts,Patsy,Obscure Knowledge,Arts & Literature|Literature & Authors,
320,Arts & Literature,Literature & Authors,In what year was 'The Hound of the Baskervilles' published?,1903,Specialized Knowledge,Arts & Literature|Literature & Authors,
363,Arts & Literature,Literature & Authors,Agatha Christie disappeared for 10 days in which year?,1926,Specialized Knowledge,Arts & Literature|Literature & Authors,
404,Arts & Literature,Literature & Authors,Who is known as the high priest of revenge?,Philip Seldon,Obscure Knowledge,Arts & Literature|Literature & Authors,
450,Arts & Literature,Literature & Authors,All the Richard Hannay books got their titles from which source?,Pilgrim's Progress,Obscure Knowledge,Arts & Literature|Literature & Authors,
479,Arts & Literature,Literature & Authors,What is the world's oldest newspaper with a Swedish name?,Post och Inrikes Tidningar,Obscure Knowledge,Arts & Literature|Literature & Authors,
527,Arts & Literature,Literature & Authors,William Golding won the Nobel Prize for literature in which year?,1983,Specialized Knowledge,Arts & Literature|Literature & Authors,
531,Arts & Literature,Literature & Authors,In 1949 the Thought Police first appeared in what novel?,1984,Common Knowledge,Arts & Literature|Literature & Authors,
532,Arts & Literature,Literature & Authors,In which novel would Big Brother be watching you?,1984,Common Knowledge,Arts & Literature|Literature & Authors,
533,Arts & Literature,Literature & Authors,What 1949 book became a bestseller 35 years later?,1984,Moderate Knowledge,Arts & Literature|Literature & Authors,
534,Arts & Literature,Literature & Authors,Which novel begins It was a bright cold day in April and the clocks were striking thirteen,1984,Moderate Knowledge,Arts & Literature|Literature & Authors,
535,Arts & Literature,Literature & Authors,Which novel features Room 101?,1984,Moderate Knowledge,Arts & Literature|Literature & Authors,
550,Arts & Literature,Literature & Authors,Who drew the comic 'The Maxx'?,Sam Kieth,Obscure Knowledge,Arts & Literature|Literature & Authors,
564,Arts & Literature,Literature & Authors,What is the subject of Harry Harrison's 1977 book Great Balls of Fire,Sex in Science Fiction,Obscure Knowledge,Arts & Literature|Literature & Authors,
569,Arts & Literature,Literature & Authors,Glasgow was voted the European City of Culture in which year?,1990,Specialized Knowledge,Arts & Literature|Literature & Authors,
574,Arts & Literature,Literature & Authors,Nadine Gordimer was awarded the Nobel Prize for Literature in which year,1991,Specialized Knowledge,Arts & Literature|Literature & Authors,
589,Arts & Literature,Literature & Authors,Dario Fo won the Nobel Prize for Literature in which year?,1997,Specialized Knowledge,Arts & Literature|Literature & Authors,
594,Arts & Literature,Literature & Authors,British Poet Laureate Ted Hughes died in which year,1998,Specialized Knowledge,Arts & Literature|Literature & Authors,
598,Arts & Literature,Literature & Authors,In which century was poet Robert Frost born?,19th,Moderate Knowledge,Arts & Literature|Literature & Authors,
649,Arts & Literature,Literature & Authors,Film title '___ Leagues Under the Sea'?,20000,Common Knowledge,Arts & Literature|Literature & Authors,
675,Arts & Literature,Literature & Authors,How many tales are there in Chaucer's Canterbury Tales?,23,Specialized Knowledge,Arts & Literature|Literature & Authors,
704,Arts & Literature,Literature & Authors,What is the criminal number of Jean Valjean in Les Miserables,24601,Specialized Knowledge,Arts & Literature|Literature & Authors,
772,Arts & Literature,Literature & Authors,How long was the relationship between Dashiell Hammett and Lillian Hellman,30 years,Specialized Knowledge,Arts & Literature|Literature & Authors,
1136,Arts & Literature,Literature & Authors,What did Mother Hubbard look for in her cupboard?,A bone,Common Knowledge,Arts & Literature|Literature & Authors,
1155,Arts & Literature,Literature & Authors,In which book did four ghosts visit Scrooge?,A Christmas Carol,Common Knowledge,Arts & Literature|Literature & Authors,
1156,Arts & Literature,Literature & Authors,Which book featured the miser Scrooge?,A Christmas Carol,Common Knowledge,Arts & Literature|Literature & Authors,
1159,Arts & Literature,Literature & Authors,Alex and his droogs are thugs in what Anthony Burgess novel,A Clockwork Orange,Moderate Knowledge,Arts & Literature|Literature & Authors,
1160,Arts & Literature,Literature & Authors,In which cult novel do gang members known as droogs appear?,A Clockwork Orange,Moderate Knowledge,Arts & Literature|Literature & Authors,
1161,Arts & Literature,Literature & Authors,Nadsat was a made-up language in what book and film,A Clockwork Orange,Moderate Knowledge,Arts & Literature|Literature & Authors,
1196,Arts & Literature,Literature & Authors,What kind of animal was Cleo in the story of Pinocchio,A Fish,Moderate Knowledge,Arts & Literature|Literature & Authors,
